,filesystem_read_file,filesystem_write_file,websearch_search_web,websearch_fetch_url,database_query_db,database_insert_record,analytics_run_analysis,analytics_generate_report,email_send_email,email_read_inbox,calendar_create_event,calendar_list_events,code_run_code,code_get_output,vector_embed_query,vector_search_index
filesystem_read_file,746.915369404172,1745.6666666666667,673.7726970551234,0.0,1185.4348544973545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1412.21875,585.8888888888889,1224.689365079365,826.875
filesystem_write_file,0.0,0.0,0.0,0.0,0.0,0.0,0.0,750.9147359146541,702.0439923172067,0.0,0.0,0.0,1271.5833333333333,0.0,0.0,0.0
websearch_search_web,797.9120634920635,1271.5833333333333,897.622329059829,1188.6730506124893,704.2795142357642,0.0,1069.525568181818,0.0,0.0,1416.142857142857,0.0,1592.6666666666667,938.8575789290074,0.0,851.9736263736264,0.0
websearch_fetch_url,0.0,0.0,0.0,887.4727043685349,1354.3972222222224,0.0,1017.5555555555555,1770.7777777777776,1963.3,0.0,1145.442857142857,1416.142857142857,917.8762635900467,0.0,801.45,0.0
database_query_db,0.0,585.8888888888889,677.2179487179487,697.404710730446,711.7847814337365,0.0,735.8706824874471,857.25,0.0,0.0,1829.5787500000001,1057.0,1087.699653461017,0.0,990.9484681984682,693.8181818181819
database_insert_record,0.0,749.1596724019234,0.0,0.0,0.0,1238.8455555555556,1253.9991496598639,970.274470300941,0.0,0.0,1160.888888888889,0.0,0.0,0.0,1194.6520202020201,0.0
analytics_run_analysis,0.0,1453.8410256410257,0.0,0.0,1097.3636363636363,757.1566560491069,692.7695828477079,1193.7025872819993,0.0,0.0,828.5,0.0,678.8888888888888,0.0,823.1899038461538,781.6875
analytics_generate_report,0.0,525.625,0.0,0.0,0.0,758.860398860399,0.0,0.0,885.5587297506414,0.0,1208.5479649318934,0.0,0.0,0.0,0.0,0.0
email_send_email,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,728.3929265179264,0.0,820.5602473638914,0.0,0.0,0.0,0.0,0.0
email_read_inbox,0.0,0.0,1280.6317583458208,1143.7714285714285,873.4826839826841,0.0,0.0,0.0,0.0,1294.6803235455022,0.0,0.0,0.0,0.0,837.3777777777779,0.0
calendar_create_event,0.0,682.7,0.0,0.0,0.0,0.0,871.4,851.79375,1341.2119708994708,0.0,982.1841927680163,0.0,0.0,653.5,0.0,1146.9
calendar_list_events,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1416.142857142857,0.0,1057.0,0.0,0.0,0.0
code_run_code,585.8888888888889,0.0,0.0,0.0,0.0,1314.2464646464646,772.4263791763792,907.1944444444445,0.0,0.0,1934.0,0.0,0.0,1340.9709197371258,705.9496199507563,829.017261904762
code_get_output,1948.8333333333335,1201.642857142857,0.0,0.0,0.0,1378.9529100529098,1473.4336996336997,848.7232142857142,1439.67,0.0,1697.9999999999998,0.0,0.0,0.0,1011.062780356898,585.8888888888889
vector_embed_query,0.0,1823.0,0.0,784.1142857142856,769.8300963398488,762.8333333333333,1198.5156306656309,886.5730935730935,653.5,0.0,0.0,0.0,851.3095238095239,0.0,843.6723104056435,915.1319769661235
vector_search_index,0.0,0.0,0.0,1709.8333333333333,825.8095486111112,781.6875,631.8287933220626,1135.4105158730158,1648.9,0.0,0.0,0.0,766.9545454545455,0.0,0.0,1130.1153225806454
