task_id,task,complexity,tool_sequence,tool_transitions,tokens_per_tool,latency_per_tool,total_tokens,n_tool_calls,success
1,Search the web for the latest Python version and save the result to a file called python_version.txt,simple,"[""websearch_search_web"", ""websearch_fetch_url"", ""filesystem_write_file""]","[[""websearch_search_web"", ""websearch_fetch_url""], [""websearch_fetch_url"", ""filesystem_write_file""]]","{""websearch_search_web"": 471, ""websearch_fetch_url"": 555, ""filesystem_write_file"": 630}","{""websearch_search_web"": 4375.439882278442, ""websearch_fetch_url"": 1430.3679466247559, ""filesystem_write_file"": 996.2019920349121}",2352,3,True
2,Read the file config.json and insert its contents as a record in the settings database table,simple,"[""filesystem_read_file"", ""database_insert_record""]","[[""filesystem_read_file"", ""database_insert_record""]]","{""filesystem_read_file"": 468, ""database_insert_record"": 549}","{""filesystem_read_file"": 870.3176975250244, ""database_insert_record"": 1816.8702125549316}",1625,2,True
3,Search for 'quantum computing applications 2025' and fetch the top result URL,simple,"[""websearch_search_web"", ""websearch_fetch_url""]","[[""websearch_search_web"", ""websearch_fetch_url""]]","{""websearch_search_web"": 478, ""websearch_fetch_url"": 568}","{""websearch_search_web"": 837.3489379882812, ""websearch_fetch_url"": 975.4142761230469}",1695,2,True
4,Query the users database for all active accounts and generate a summary report,simple,"[""database_query_db"", ""analytics_run_analysis"", ""analytics_generate_report""]","[[""database_query_db"", ""analytics_run_analysis""], [""analytics_run_analysis"", ""analytics_generate_report""]]","{""database_query_db"": 475, ""analytics_run_analysis"": 607, ""analytics_generate_report"": 707}","{""database_query_db"": 740.6129837036133, ""analytics_run_analysis"": 1152.1046161651611, ""analytics_generate_report"": 1359.5452308654785}",2683,3,True
5,Read the file sales_data.csv and run a trend analysis on it,simple,"[""filesystem_read_file"", ""analytics_run_analysis""]","[[""filesystem_read_file"", ""analytics_run_analysis""]]","{""filesystem_read_file"": 465, ""analytics_run_analysis"": 545}","{""filesystem_read_file"": 970.9548950195312, ""analytics_run_analysis"": 1130.6984424591064}",1689,2,True
6,Search for 'MCP protocol specification' and save the summary to mcp_notes.txt,simple,"[""websearch_search_web"", ""websearch_fetch_url"", ""filesystem_write_file""]","[[""websearch_search_web"", ""websearch_fetch_url""], [""websearch_fetch_url"", ""filesystem_write_file""]]","{""websearch_search_web"": 470, ""websearch_fetch_url"": 555, ""filesystem_write_file"": 659}","{""websearch_search_web"": 996.9713687896729, ""websearch_fetch_url"": 1115.4510974884033, ""filesystem_write_file"": 1693.380355834961}",2389,3,True
7,Query the inventory database for out-of-stock items and write the results to report.txt,simple,"[""database_query_db"", ""filesystem_write_file""]","[[""database_query_db"", ""filesystem_write_file""]]","{""database_query_db"": 477, ""filesystem_write_file"": 630}","{""database_query_db"": 971.940279006958, ""filesystem_write_file"": 1310.0781440734863}",1783,2,True
8,Fetch the URL https://example.com/api/data and insert the response into the cache table,simple,"[""websearch_fetch_url"", ""database_insert_record""]","[[""websearch_fetch_url"", ""database_insert_record""]]","{""websearch_fetch_url"": 258, ""database_insert_record"": 258}","{""websearch_fetch_url"": 1376.5888214111328, ""database_insert_record"": 1376.5888214111328}",1150,2,True
9,Run a summary analysis on the dataset in data.json and generate a markdown report,simple,"[""filesystem_read_file"", ""analytics_run_analysis"", ""analytics_generate_report""]","[[""filesystem_read_file"", ""analytics_run_analysis""], [""analytics_run_analysis"", ""analytics_generate_report""]]","{""filesystem_read_file"": 251, ""analytics_run_analysis"": 251, ""analytics_generate_report"": 651}","{""filesystem_read_file"": 1457.7953815460205, ""analytics_run_analysis"": 1457.7953815460205, ""analytics_generate_report"": 1334.4652652740479}",1916,3,True
10,Read the file user_logs.txt and search for patterns related to login failures,simple,"[""filesystem_read_file"", ""websearch_search_web""]","[[""filesystem_read_file"", ""websearch_search_web""]]","{""filesystem_read_file"": 466, ""websearch_search_web"": 530}","{""filesystem_read_file"": 681.9562911987305, ""websearch_search_web"": 840.8792018890381}",1830,2,True
