task_id,task,complexity,tool_sequence,tool_transitions,tokens_per_tool,latency_per_tool,total_tokens,n_tool_calls,success
1,Run a trend analysis on sales_data.txt and save the output to a new file,simple,"[""filesystem_read_file"", ""analytics_run_analysis"", ""filesystem_write_file""]","[[""filesystem_read_file"", ""analytics_run_analysis""], [""analytics_run_analysis"", ""filesystem_write_file""]]","{""filesystem_read_file"": 806, ""analytics_run_analysis"": 864, ""filesystem_write_file"": 968}","{""filesystem_read_file"": 3104.2709350585938, ""analytics_run_analysis"": 1221.8127250671387, ""filesystem_write_file"": 1739.2406463623047}",3703,3,True
2,Run an analysis of last week's log file and write the summary back to disk,simple,"[""filesystem_read_file"", ""analytics_run_analysis"", ""filesystem_write_file""]","[[""filesystem_read_file"", ""analytics_run_analysis""], [""analytics_run_analysis"", ""filesystem_write_file""]]","{""filesystem_read_file"": 809, ""analytics_run_analysis"": 870, ""filesystem_write_file"": 980}","{""filesystem_read_file"": 1717.9951667785645, ""analytics_run_analysis"": 1348.3192920684814, ""filesystem_write_file"": 1635.923147201538}",3743,3,True
3,Create a calendar event for the maintenance window and insert a record noting it in the database,simple,"[""calendar_create_event"", ""database_insert_record""]","[[""calendar_create_event"", ""database_insert_record""]]","{""calendar_create_event"": 447, ""database_insert_record"": 447}","{""calendar_create_event"": 2258.60333442688, ""database_insert_record"": 2258.60333442688}",1911,2,True
4,List this week's calendar events and query the database for attendee records,simple,"[""calendar_list_events"", ""database_query_db""]","[[""calendar_list_events"", ""database_query_db""]]","{""calendar_list_events"": 434, ""database_query_db"": 434}","{""calendar_list_events"": 2179.1505813598633, ""database_query_db"": 2179.1505813598633}",1878,2,True
5,Fetch the top result for 'best code editors 2026' and run a Python script to log the finding,simple,"[""websearch_search_web"", ""code_run_code""]","[[""websearch_search_web"", ""code_run_code""]]","{""websearch_search_web"": 815, ""code_run_code"": 927}","{""websearch_search_web"": 1313.2128715515137, ""code_run_code"": 2553.3649921417236}",2732,2,True
6,Run an analysis of last week's log file and write the summary back to disk,simple,"[""filesystem_read_file"", ""analytics_run_analysis"", ""filesystem_write_file""]","[[""filesystem_read_file"", ""analytics_run_analysis""], [""analytics_run_analysis"", ""filesystem_write_file""]]","{""filesystem_read_file"": 808, ""analytics_run_analysis"": 869, ""filesystem_write_file"": 985}","{""filesystem_read_file"": 905.8511257171631, ""analytics_run_analysis"": 1035.9060764312744, ""filesystem_write_file"": 1694.1845417022705}",3749,3,True
7,Run an analysis of last week's log file and write the summary back to disk,simple,"[""filesystem_read_file"", ""analytics_run_analysis"", ""filesystem_write_file""]","[[""filesystem_read_file"", ""analytics_run_analysis""], [""analytics_run_analysis"", ""filesystem_write_file""]]","{""filesystem_read_file"": 807, ""analytics_run_analysis"": 867, ""filesystem_write_file"": 974}","{""filesystem_read_file"": 847.0022678375244, ""analytics_run_analysis"": 1277.5726318359375, ""filesystem_write_file"": 1449.2409229278564}",3727,3,True
8,Query the inventory database for low-stock items and create a calendar event to reorder,simple,"[""database_query_db"", ""calendar_create_event""]","[[""database_query_db"", ""calendar_create_event""]]","{""database_query_db"": 818, ""calendar_create_event"": 887}","{""database_query_db"": 1225.090742111206, ""calendar_create_event"": 1314.1016960144043}",2689,2,True
9,Create a calendar event for the maintenance window and insert a record noting it in the database,simple,"[""calendar_create_event"", ""database_insert_record""]","[[""calendar_create_event"", ""database_insert_record""]]","{""calendar_create_event"": 449, ""database_insert_record"": 449}","{""calendar_create_event"": 1967.8056240081787, ""database_insert_record"": 1967.8056240081787}",1917,2,True
10,Search the web for the latest Python version and run a quick script to print it,simple,"[""websearch_search_web"", ""websearch_fetch_url"", ""code_run_code"", ""code_get_output""]","[[""websearch_search_web"", ""websearch_fetch_url""], [""websearch_fetch_url"", ""code_run_code""], [""code_run_code"", ""code_get_output""]]","{""websearch_search_web"": 806, ""websearch_fetch_url"": 859, ""code_run_code"": 913, ""code_get_output"": 963}","{""websearch_search_web"": 1141.8027877807617, ""websearch_fetch_url"": 1299.1602420806885, ""code_run_code"": 1330.6396007537842, ""code_get_output"": 1506.4265727996826}",4639,4,True
