task_id,task,complexity,tool_sequence,tool_transitions,tokens_per_tool,latency_per_tool,total_tokens,n_tool_calls,success
1,"Search the web for the latest Python version, run a quick Python script to print it, and send the re",simple,"[""websearch_search_web"", ""websearch_fetch_url"", ""code_run_code"", ""code_get_output"", ""email_send_email""]","[[""websearch_search_web"", ""websearch_fetch_url""], [""websearch_fetch_url"", ""code_run_code""], [""code_run_code"", ""code_get_output""], [""code_get_output"", ""email_send_email""]]","{""websearch_search_web"": 817, ""websearch_fetch_url"": 872, ""code_run_code"": 934, ""code_get_output"": 984, ""email_send_email"": 1066}","{""websearch_search_web"": 3530.381202697754, ""websearch_fetch_url"": 1020.0901031494141, ""code_run_code"": 1008.3827972412109, ""code_get_output"": 627.8989315032959, ""email_send_email"": 1210.3593349456787}",5823,5,True
2,"Read the file config.json, embed its key fields using vector search, and save a summary to config_su",simple,"[""filesystem_read_file"", ""vector_embed_query"", ""analytics_run_analysis"", ""filesystem_write_file""]","[[""filesystem_read_file"", ""vector_embed_query""], [""vector_embed_query"", ""analytics_run_analysis""], [""analytics_run_analysis"", ""filesystem_write_file""]]","{""filesystem_read_file"": 811, ""vector_embed_query"": 867, ""analytics_run_analysis"": 946, ""filesystem_write_file"": 1048}","{""filesystem_read_file"": 998.4757900238037, ""vector_embed_query"": 910.8684062957764, ""analytics_run_analysis"": 1076.477289199829, ""filesystem_write_file"": 1379.5595169067383}",4795,4,True
3,Query the users database for active accounts and schedule a calendar meeting to review the results,simple,"[""database_query_db"", ""calendar_create_event""]","[[""database_query_db"", ""calendar_create_event""]]","{""database_query_db"": 815, ""calendar_create_event"": 888}","{""database_query_db"": 817.7657127380371, ""calendar_create_event"": 1156.6014289855957}",2677,2,True
4,"Search for 'quantum computing trends', fetch the top URL, and send a summary email with key findings",simple,"[""websearch_search_web"", ""websearch_fetch_url"", ""email_send_email""]","[[""websearch_search_web"", ""websearch_fetch_url""], [""websearch_fetch_url"", ""email_send_email""]]","{""websearch_search_web"": 812, ""websearch_fetch_url"": 873, ""email_send_email"": 1064}","{""websearch_search_web"": 855.8495044708252, ""websearch_fetch_url"": 807.8129291534424, ""email_send_email"": 2511.986494064331}",3890,3,True
5,"Run a Python script to generate a random dataset, analyze it statistically, and write the results to",simple,"[""code_run_code"", ""code_get_output"", ""filesystem_read_file"", ""filesystem_write_file""]","[[""code_run_code"", ""code_get_output""], [""code_get_output"", ""filesystem_read_file""], [""filesystem_read_file"", ""filesystem_write_file""]]","{""code_run_code"": 939, ""code_get_output"": 989, ""filesystem_read_file"": 1046, ""filesystem_write_file"": 1101}","{""code_run_code"": 2671.6043949127197, ""code_get_output"": 694.1390037536621, ""filesystem_read_file"": 938.6622905731201, ""filesystem_write_file"": 939.0103816986084}",5237,4,True
6,"Read the inbox for messages about project deadlines, create calendar events for each deadline found",simple,"[""email_read_inbox"", ""email_read_inbox"", ""websearch_search_web"", ""websearch_fetch_url"", ""websearch_fetch_url"", ""calendar_create_event"", ""calendar_create_event"", ""calendar_create_event""]","[[""email_read_inbox"", ""email_read_inbox""], [""email_read_inbox"", ""websearch_search_web""], [""websearch_search_web"", ""websearch_fetch_url""], [""websearch_fetch_url"", ""websearch_fetch_url""], [""websearch_fetch_url"", ""calendar_create_event""], [""calendar_create_event"", ""calendar_create_event""], [""calendar_create_event"", ""calendar_create_event""]]","{""email_read_inbox"": 1679, ""websearch_search_web"": 930, ""websearch_fetch_url"": 1032, ""calendar_create_event"": 3690}","{""email_read_inbox"": 2178.6012649536133, ""websearch_search_web"": 734.7440719604492, ""websearch_fetch_url"": 2694.7503089904785, ""calendar_create_event"": 6680.814266204834}",8815,8,True
7,"Search the vector index for documents related to 'machine learning', fetch the top result URL, and g",simple,"[""vector_search_index"", ""vector_search_index"", ""vector_search_index"", ""vector_search_index"", ""vector_search_index"", ""vector_search_index"", ""vector_search_index"", ""vector_search_index"", ""vector_search_index"", ""vector_search_index"", ""vector_search_index"", ""vector_search_index"", ""vector_search_index"", ""vector_search_index"", ""vector_search_index"", ""vector_search_index""]","[[""vector_search_index"", ""vector_search_index""], [""vector_search_index"", ""vector_search_index""], [""vector_search_index"", ""vector_search_index""], [""vector_search_index"", ""vector_search_index""], [""vector_search_index"", ""vector_search_index""], [""vector_search_index"", ""vector_search_index""], [""vector_search_index"", ""vector_search_index""], [""vector_search_index"", ""vector_search_index""], [""vector_search_index"", ""vector_search_index""], [""vector_search_index"", ""vector_search_index""], [""vector_search_index"", ""vector_search_index""], [""vector_search_index"", ""vector_search_index""], [""vector_search_index"", ""vector_search_index""], [""vector_search_index"", ""vector_search_index""], [""vector_search_index"", ""vector_search_index""]]","{""vector_search_index"": 19506}","{""vector_search_index"": 16525.718450546265}",19506,16,True
8,"Query the database for recent transactions, run code to calculate totals, and insert the summary int",simple,"[""database_query_db"", ""code_run_code"", ""code_get_output"", ""database_insert_record""]","[[""database_query_db"", ""code_run_code""], [""code_run_code"", ""code_get_output""], [""code_get_output"", ""database_insert_record""]]","{""database_query_db"": 824, ""code_run_code"": 921, ""code_get_output"": 971, ""database_insert_record"": 1044}","{""database_query_db"": 1023.3900547027588, ""code_run_code"": 1489.955186843872, ""code_get_output"": 738.8384342193604, ""database_insert_record"": 1569.5455074310303}",4858,4,True
9,"Embed the query 'security vulnerabilities', search the vector index, and send findings via email",simple,"[""vector_embed_query"", ""vector_search_index"", ""email_send_email""]","[[""vector_embed_query"", ""vector_search_index""], [""vector_search_index"", ""email_send_email""]]","{""vector_embed_query"": 425, ""vector_search_index"": 425, ""email_send_email"": 1022}","{""vector_embed_query"": 1279.6556949615479, ""vector_search_index"": 1279.6556949615479, ""email_send_email"": 1630.052089691162}",2959,3,True
10,"Read the file requirements.txt, run code to validate dependencies, and create a calendar event for t",simple,"[""filesystem_read_file"", ""code_run_code"", ""code_get_output"", ""calendar_create_event""]","[[""filesystem_read_file"", ""code_run_code""], [""code_run_code"", ""code_get_output""], [""code_get_output"", ""calendar_create_event""]]","{""filesystem_read_file"": 810, ""code_run_code"": 937, ""code_get_output"": 987, ""calendar_create_event"": 1072}","{""filesystem_read_file"": 669.6455478668213, ""code_run_code"": 1649.9979496002197, ""code_get_output"": 790.1618480682373, ""calendar_create_event"": 1009.5510482788086}",5005,4,True
