,filesystem_read_file,filesystem_write_file,websearch_search_web,websearch_fetch_url,database_query_db,database_insert_record,analytics_run_analysis,analytics_generate_report,email_send_email,email_read_inbox,calendar_create_event,calendar_list_events,code_run_code,code_get_output,vector_embed_query,vector_search_index
filesystem_read_file,960.8166137566136,0.0,876.1371428571431,0.0,0.0,0.0,1034.6909722222222,0.0,2637.0,0.0,0.0,0.0,1491.5132275132273,0.0,1565.5217524509803,0.0
filesystem_write_file,0.0,922.5238095238095,0.0,0.0,0.0,0.0,0.0,0.0,1078.5,0.0,1436.4642857142858,0.0,0.0,0.0,2124.6,1418.5555555555557
websearch_search_web,1147.8,0.0,940.8957671957672,1315.3205415499535,1060.8000000000002,0.0,1863.732142857143,1413.6,1578.103968253968,0.0,1042.85,0.0,0.0,0.0,0.0,0.0
websearch_fetch_url,886.5944444444444,1317.142857142857,0.0,1168.1771121351765,0.0,0.0,0.0,0.0,1692.107142857143,0.0,1264.857142857143,0.0,0.0,0.0,0.0,0.0
database_query_db,1060.8000000000002,0.0,0.0,0.0,0.0,0.0,1953.25,1940.8333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
database_insert_record,0.0,0.0,0.0,0.0,0.0,794.3697077472293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
analytics_run_analysis,0.0,0.0,0.0,0.0,0.0,0.0,1032.3121693121693,1195.911111111111,1668.9910714285716,0.0,0.0,0.0,0.0,0.0,0.0,0.0
analytics_generate_report,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1372.635648148148,0.0,0.0,0.0,0.0,0.0,1525.5050595238095,0.0
email_send_email,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,898.2416666666667,0.0,1266.1364285714285,0.0,0.0,0.0,0.0,0.0
email_read_inbox,0.0,0.0,1447.9128571428573,0.0,0.0,0.0,0.0,0.0,0.0,1266.4839947089947,0.0,898.2416666666668,0.0,0.0,0.0,0.0
calendar_create_event,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1156.7668367346937,0.0,946.7785714285714,0.0,0.0,0.0,0.0,0.0
calendar_list_events,0.0,0.0,847.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,923.5125,0.0,0.0,0.0,0.0,0.0
code_run_code,1539.232843137255,1422.9666666666667,0.0,0.0,0.0,0.0,1361.7916666666665,1580.0761904761905,0.0,0.0,0.0,0.0,1118.5650491136005,1495.7972295335692,1491.4063492063494,1511.410902255639
code_get_output,1795.1770833333335,859.370138888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,814.2100604402756,1356.029191811246,2056.8333333333335
vector_embed_query,0.0,1311.1089715839717,0.0,0.0,0.0,832.6159889173061,0.0,0.0,0.0,0.0,0.0,0.0,1610.1845238095239,0.0,836.0078528146319,1217.4447014713835
vector_search_index,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1404.3127981923542,0.0,0.0,806.2917612640639
